,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,label
0,-1.6841746463169518,7.6068258030713105,2.9838815298045764,-6.306659457342021,-4.6083211006362115,-3.7325736219035024,-5.053382133067197,-2.1492127669392724,2.40807001228977,-3.7281466431102563,7.309098205407616,-3.4413020739371967,-3.800742587948747,-2.1847224028906163,9.190001205740778,-7.038069919173241,0
1,-3.7715612552072346,0.3507034852492015,5.435459521078887,-6.873368505779366,-4.884187762496912,-2.957320456128316,6.193452851489865,-6.398833601842671,0.7520113888865939,-2.9615334664161392,1.7908198604765038,-9.49029358439755,-4.391134406915884,-5.016678526456292,8.80582215005798,-3.656505043790898,1
1,-3.0952913500471797,1.2172937487294369,6.037867783212413,-6.060181820573723,-4.6738013733757064,-3.0851541615672438,5.915877212399449,-7.423494914700792,1.8157844021360519,-3.5783590810409787,1.5055764302445238,-9.79182690697881,-4.33298737916762,-5.214670733107664,8.6059047165665,-3.357769146002741,1
1,-3.313569116026592,1.0814926335001114,5.2171265962212825,-6.165457290646586,-6.142776514294933,-3.61004260818291,6.283462589363827,-7.12660620366974,1.2142792562189613,-2.4815734435553094,1.7437994758740252,-8.903501552326595,-4.9272693306631545,-6.087497661455821,9.360719311131659,-3.1017387493017248,1
1,-2.63899490365769,1.0246085381401193,5.2669952626584235,-5.580766862150193,-5.067258528134738,-3.070329364556584,6.3601626962563635,-6.824550697921577,0.5008105516091429,-2.7899126716397036,2.5423444286565946,-9.46698269208992,-4.2400895959022655,-5.145354038464447,8.09052100307682,-3.575265841329134,1
1,-3.0703801168678213,0.5386884239944438,5.188556623277614,-6.657372863001824,-4.615337112077052,-2.97586385549432,5.866417087226204,-7.308518867129328,0.9891965784787311,-2.8814936259341133,1.482715912958639,-8.531072603273712,-4.182069499670609,-5.560521918962464,8.948143837919675,-3.3947025227577554,1
1,-3.0931368287474577,-0.1400785372272375,5.0186582971323235,-6.87322893119328,-5.613904025411225,-2.2742301051016476,5.481424417165705,-7.328301012404129,1.6393858966117787,-2.4267658763214945,1.8399402308845998,-9.483804127243172,-4.4002606687996595,-5.541779204908637,10.131958525030376,-3.630373020659483,1
0,-1.3533840058192188,7.651677377021704,2.964996490070681,-6.489505689534758,-4.780716301269064,-3.455338065127504,-4.77352163375266,-1.603275939263221,2.027810407124965,-3.6986685578442424,8.699222595862059,-2.667749179127817,-2.8945280750098816,-1.8665678647402357,8.793847916574055,-6.994633849819775,0
1,-2.9979103669934757,0.9912835053379933,5.677807230073454,-6.523447939008597,-5.423763266346179,-2.274266234585126,5.729352517792312,-7.260956107313304,1.4599676649978135,-3.2145699201078597,0.9738207632288515,-9.74958018899853,-4.5683753778144345,-5.028562565370908,8.881852062433136,-4.036805083849885,1
1,-4.155952931836416,0.8661229161906482,4.915695422640507,-6.347163453286354,-5.741561482829681,-2.6667586664503635,6.045686307694247,-8.604668285453391,0.9720805613815406,-3.284385318056178,2.2805317186857565,-8.823263349022243,-4.755446925778016,-5.94241082451015,8.743109064855132,-4.198887320763152,1
0,-1.4881402038822193,7.040137032282285,2.120194842806357,-6.5597973530817155,-4.978916423980514,-5.124584275818464,-5.4449628939052035,-2.5315448741302093,2.9568948040515743,-5.025641234506871,9.570989143815112,-3.4583998169095658,-3.529329766226309,-2.206595869420499,8.416557856306516,-7.026833356244841,0
0,-2.019891114695204,7.3246764193272,3.2890947782821867,-5.9637809307340035,-4.393649697702316,-4.137390920324053,-5.051947490192902,-1.8672118489364082,2.7234623162129106,-5.614453787040294,8.035118073384202,-3.824956909279485,-3.5220992764530963,-2.313684901571477,9.607184370902992,-6.897694530016145,0
0,-1.6596115819050874,6.649683581159975,2.107997522419193,-5.679204936623249,-4.1182046571456,-4.311098550746668,-4.657171403297302,-3.1906202382182696,2.7413961843344374,-5.176173260924965,8.611130113604396,-3.8839415760950478,-4.056577571682149,-2.5592996158066756,8.968256365988664,-7.152903893452695,0
0,-2.173251445055379,7.389481812067057,2.700686327498337,-6.601302638012674,-4.896195080567605,-3.701917243048707,-4.829631297609909,-1.9044397240875481,3.4920135270664696,-4.36660262236922,8.348245553964219,-4.365336413282837,-2.737019681274101,-1.6036446531773878,9.008250424808546,-7.481337022915553,0
1,-3.6592812063124316,0.6307673840214145,4.315477572200173,-5.794187090605648,-5.740806607115866,-2.449618824910751,5.961199058200329,-6.923583842507124,1.0946575528510043,-3.840258099827469,2.0349755902460216,-8.908293554925523,-4.881846047293576,-6.654118907727863,9.119195101627527,-3.510892456712154,1
0,-1.5717395384567698,7.319853468488395,2.974439674574555,-6.578285139474619,-4.710225337803447,-3.968610272503411,-5.110218882181021,-2.463231992565545,2.4764029393785343,-5.006723514652196,9.090559128326047,-2.6217338770593277,-4.3798748900381685,-2.2417475517002585,8.347848666840745,-7.491303218661349,0
0,-2.315341143548011,7.263234781800485,2.4330759818796337,-6.2357307180332855,-5.23590706869841,-4.2100776419515675,-5.8815626712780995,-1.8861676304252684,2.510564383643598,-4.09359072950534,8.952011609688899,-3.248858006834157,-3.286773307575463,-2.478816629956522,9.190150447445706,-6.45699255214717,0
0,-0.7142391739534487,6.834859016175498,2.988675896409346,-6.838880786676091,-4.727602677431428,-3.347102115455673,-5.391660663100755,-2.607468970809675,2.704283864241106,-3.9401454360235895,9.38267321683355,-4.525856045516033,-3.3245157741287277,-3.503436746192741,8.254745929976714,-6.785855075169251,0
0,-2.0128759313932116,7.774309494714587,2.5776566823528078,-7.101774818875008,-4.469894430412715,-3.482738632133444,-4.9617980137594975,-2.816752765268663,2.2392868915904516,-4.625849436249607,8.185879461470343,-4.04437770956562,-4.393167860305746,-2.3484465704543616,9.581007454315102,-7.058622812086389,0
1,-3.666088739293986,0.6328885205368131,5.461894309289575,-4.829902019573968,-5.585069510999036,-2.502786619451392,5.454736982254873,-7.184686418760182,1.551969120247862,-2.5310406401623062,2.7136547231616714,-9.463836350540033,-3.79063195871773,-5.212207901239517,8.965129872714142,-4.491478367429682,1
1,-2.8414406888706125,1.1155780616413908,5.39991008705665,-7.046153186652123,-4.840545273796282,-2.3925060098592272,6.354757759449223,-6.888988645024346,0.8924138379003111,-3.29706146893874,2.348558510764351,-10.195938188498982,-4.803848389325382,-5.717566154215439,9.387353973264156,-4.196864661149672,1
1,-4.158277427482448,1.3317468221821223,4.981958082226207,-5.6243277604728235,-6.545169069873433,-2.910555831792748,6.042474811573484,-7.499630120168845,0.9832781842158418,-3.010827089088361,2.290548262811524,-9.854558305648409,-3.538978338295297,-5.943921868083721,8.734120756937795,-4.11410507408981,1
1,-3.434931140302319,1.3549562793992067,5.429020245094292,-5.952348604804728,-5.182774750732037,-2.8628142336226436,5.498264761532521,-7.551465672554368,1.6358666097702448,-2.2219499825266364,2.0204260339910314,-8.62563885887909,-4.57094633243296,-5.549418863220962,8.520095315677766,-4.46141950403506,1
1,-2.666991065568341,1.1066590511700507,5.104398354079042,-6.355390932710147,-4.989611603142601,-2.550792780906873,6.0022149067128145,-6.716373724203632,0.4048960557493274,-3.09993978793655,1.614290550648706,-9.453280999816064,-5.546916281078765,-5.318300035048872,9.609485307695161,-3.2107841381050783,1
0,-2.278432797945003,6.9111194720468845,3.4090378581835257,-6.75873394477001,-3.762018908559499,-4.27927794859915,-4.2604605039439,-2.0213516760964296,2.6255654316361663,-4.865678054981895,7.782773620244839,-2.8474113181397174,-4.0436877528075925,-2.7725939742714862,8.738241746887917,-6.973130070630428,0
1,-3.531881240698607,1.6146622022984434,4.9769305495236384,-5.390432954094116,-5.65651429453884,-3.3063606162642234,5.855114571455505,-7.68714509387054,1.7539921964529444,-3.086942657851166,1.1355726499460548,-9.142176950223162,-4.912925732268208,-5.7742748076420565,9.189233285157453,-3.9202617495125485,1
1,-3.6685431570091755,1.3707540430476515,5.235552371365361,-6.078720942965536,-5.736180388291646,-1.8700769677305613,5.615381218889968,-7.307262544166369,1.773720157383469,-2.3437668535335687,2.0438652571534717,-9.72024218460334,-3.8380650680016344,-6.112594776558064,8.61970734130726,-3.7329511743943384,1
